Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1981,Qtr 3,July,25,25/07/1981,Colombia,Douglas,Douglas C 53D,Caruru Colombia,Transamazonica,9,5,0,5
1982,Qtr 1,February,19,19/02/1982,Colombia,Douglas,Douglas DC 6BFHK,Cerro el Tablazo Colombia,Columbia LAC,4,4,0,4
1976,Qtr 1,February,4,04/02/1976,Colombia,Douglas,Douglas DC 6AHK,Off Santa Maria Colombia,Colombia LAC,3,3,0,3
1982,Qtr 1,March,26,26/03/1982,Colombia,Vickers,Vickers Viscount 745DHK 2382,Queate Colombia,Colombia Aeropesca,21,21,0,21
1988,Qtr 3,July,6,06/07/1988,Colombia,Canadair,Canadair CL 44JHK,Barranquilla Colombia,Suramericanas Aéreas Lineas,8,8,0,8
1990,Qtr 1,February,5,05/02/1990,Colombia,Grumman,Grumman G 159 Gulfstream IHK,Near Ibague Colombia,Colombia de Nacionales Helicopteros,15,15,0,15
2016,Qtr 4,November,28,28/11/2016,Colombia,Avro,Avro RJ 85CP,Near La Union Colombia,Bolivia LAMIA,77,71,0,71
1979,Qtr 4,December,18,18/12/1979,Colombia,Douglas,Douglas DC 4 (C,Cerro Toledo Mountain Colombia,Satena,21,21,0,21
1986,Qtr 2,April,27,27/04/1986,Colombia,de Havilland,de Havilland Canada DHC 6 Twin Otter 300HK,Near Saravena Colombia,Colombia ACES,13,13,0,13
1989,Qtr 4,November,27,27/11/1989,Colombia,Boeing,Boeing B 727,Bogota Colombia,Avianca,107,107,3,110
1984,Qtr 1,March,13,13/03/1984,Colombia,Curtiss,Curtiss C 46AHK,Barranquilla Colombia,Colombia Aerosucre,6,4,0,4
1980,Qtr 4,November,24,24/11/1980,Colombia,Douglas,Douglas C 47A,Near Medellin Colombia,Ados de General Direccion la de F.R.,20,20,0,20
1981,Qtr 3,September,2,02/09/1981,Colombia,Embraer,Embraer 110P1 BandeiranteHK 2651,Paipa Colombia,Venado el Aereo,22,21,0,21
1951,Qtr 2,June,13,13/06/1951,Colombia,Douglas,Douglas C 47AHK,Medellin Colombia,Medellin Aeronautica Sociedad,3,3,0,3
1949,Qtr 4,November,26,26/11/1949,Colombia,Douglas,Douglas DC 3HK,Near Bucaramanga Colombia,LANSA,12,12,0,12
1978,Qtr 1,January,27,27/01/1978,Colombia,Douglas,Douglas DC 3HK,Near San Vincente Colombia,SADELCA,14,14,0,14
1950,Qtr 2,April,15,15/04/1950,Colombia,Douglas,Douglas C 47 (DC,Santa Ana Colombia,Nacionales Aéreas Lineas,4,2,0,2
1948,Qtr 4,December,15,15/12/1948,Colombia,Douglas,Douglas C 47C,Near Bogata Colombia,LANSA,30,30,0,30
1979,Qtr 4,November,30,30/11/1979,Colombia,Grumman,Grumman G 21 GooseHK,San Andres Island Colombia,Gaviola La Aerolineas,9,9,0,9
1975,Qtr 1,February,22,22/02/1975,Colombia,Canadair,Canadair CL 44HK,Medellin Colombia,Aerocondor,5,5,0,5
1999,Qtr 1,March,18,18/03/1999,Colombia,Douglas,Douglas DC 3C (C,Near Tame Colombia,Colombia ALIANSA,8,8,8,16
1999,Qtr 2,April,8,08/04/1999,Colombia,de Havilland,de Havilland Canada DHC 6 Twin Otter 300HK,Near Malaga Colombia,Aerotaca,5,5,0,5
1956,Qtr 4,December,8,08/12/1956,Colombia,Consolidated,Consolidated PBY 5A CatalinaHK,Caqueta Colombia,AIDA,16,14,0,14
1966,Qtr 3,September,22,22/09/1966,Colombia,Douglas,Douglas DC 4HK,Bogota Colombia,Avianca,2,2,0,2
1998,Qtr 4,December,22,22/12/1998,Colombia,Antonov,Antonov 32BHK 3930X,Medellín Colombia,SELVA,5,5,0,5
1966,Qtr 4,November,26,26/11/1966,Colombia,Consolidated,Consolidated  PBY 5A CatalinaFAC,Near La Pedrera Colombia,Satena,13,12,0,12
1956,Qtr 4,November,17,17/11/1956,Colombia,Douglas,Douglas DC 3HK,El Rucio Mountain Colombia,Pacifico del Aviacion Empresa,36,36,0,36
1999,Qtr 3,July,4,04/07/1999,Colombia,Douglas,Douglas DC 6AHK,Villavicencio Colombia,Colombia LANC,18,5,0,5
1965,Qtr 4,November,8,08/11/1965,Colombia,Douglas,Douglas C 47DLHK,Near Boqueron Colombia,TAO Aerolineas,30,30,0,30
2000,Qtr 3,July,9,09/07/2000,Colombia,Curtiss,Curtiss C 46A,Villavicencio Colombia,Colombia CORAL,19,13,0,13
1965,Qtr 4,October,17,17/10/1965,Colombia,Douglas,Douglas DC 3 / Piper PA,Bucaramanga Colombia,Avianca,19,19,0,19
1957,Qtr 1,March,9,09/03/1957,Colombia,Douglas,Douglas DC 3HK,El Soldado Colombia,Avianca,15,15,0,15
1999,Qtr 3,July,23,23/07/1999,Colombia,de Havilland,de Havilland Canada DHC 7,Near Orito Colombia,Army U.S. - Military,7,7,0,7
1935,Qtr 2,June,24,24/06/1935,Colombia,Ford,Ford Tri Motor / Ford Tri,Medellin Colombia,SCADTA / Columbiano Aereo Servicio,20,17,0,17
1966,Qtr 1,January,15,15/01/1966,Colombia,Douglas,Douglas DC 6,Off Cartagena Colombia,Avianca,64,56,0,56
1966,Qtr 4,December,18,18/12/1966,Colombia,Lockheed,Lockheed L 1649A StarlinerN7301C,Bogota Colombia,Colombia de Aerocondor,59,17,0,17
1995,Qtr 3,September,9,09/09/1995,Colombia,CASA,CASA 212 Aviocar 200FAC1152,Near La Macarena Colombia,SAETA,22,21,0,21
1970,Qtr 1,February,12,12/02/1970,Colombia,Douglas,Douglas DC 3 (C,Puerto Infrida Colombia,Urraca La Aéreas Lineas,12,12,2,14
1969,Qtr 3,September,8,08/09/1969,Colombia,Douglas,Douglas DC 3FAC,Near Medina Colombia,Satena,32,32,0,32
1995,Qtr 3,August,14,14/08/1995,Colombia,Embraer,Embraer 110P1 BandeiranteHK 2594,Nevada del Huila Colombia,Colombia AIRES,10,10,0,10
1955,Qtr 1,March,9,09/03/1955,Colombia,Douglas,Douglas C 47AHK,Trujillo Colombia,Avianca,8,8,0,8
1947,Qtr 1,January,22,22/01/1947,Colombia,Douglas,Douglas DC 3 ( C,Puesto Araujo Colombia,Avianca,17,17,0,17
1995,Qtr 2,May,25,25/05/1995,Colombia,Douglas,Douglas DC 3CHK,Miraflores Colombia,LACOL,11,2,0,2
1996,Qtr 4,November,30,30/11/1996,Colombia,de Havilland,de Havilland Canada DHC 6 Twin Otter 300HK,Medellin Colombia,Colombia ACES,15,14,0,14
2019,Qtr 1,March,9,09/03/2019,Colombia,Douglas,Douglas DC 3HK,Vereda La Bendicion Colombia,Colombia Aereo Laser,14,14,0,14
1967,Qtr 2,April,26,26/04/1967,Colombia,Douglas,Douglas DC 3HK,Near Sogamosa Colombia,Avianca,18,17,0,17
1966,Qtr 4,December,24,24/12/1966,Colombia,Douglas,Douglas C 47A,Cascubel River Colombia,Avianca,29,29,0,29
1998,Qtr 2,April,20,20/04/1998,Colombia,Boeing,Boeing B 727,Near Bogota Colombia,France Air,53,53,0,53
1996,Qtr 4,December,21,21/12/1996,Colombia,Antonov,Antonov An 32BHK,Rio Negro Colombia,SELVA,4,4,0,4
1997,Qtr 3,July,6,06/07/1997,Colombia,Mil,Mil Mi 17 (helicopter),Near Saravena Colombia,Army Colombian - Military,29,25,0,25
1924,Qtr 2,June,8,08/06/1924,Colombia,Junkers,Junkers F 13A16,Barranquilla Colombia,SCADTA,5,5,0,5
1962,Qtr 2,April,6,06/04/1962,Colombia,Douglas,Douglas C 47FAC,Near Villavicencio Colombia,Force Air Colombian - Military,31,31,0,31
1962,Qtr 1,February,25,25/02/1962,Colombia,Douglas,Douglas C 47AHK,Municipio de Marulanda Colombia,Avianca,2,2,0,2
2015,Qtr 3,July,31,31/07/2015,Colombia,CASA,CASA CN 235,Near Agustin Codazzi Colombia,Force Air Colombia - Military,11,11,0,11
2006,Qtr 4,November,18,18/11/2006,Colombia,Boeing,Boeing 727 23FHK,Near Leticia Colombia,Colombia Aerosucre,5,5,0,5
2004,Qtr 4,October,15,15/10/2004,Colombia,Douglas,Douglas DC 3CHK,Near Medellin Colombia,Aerovanguardia,3,3,0,3
2005,Qtr 1,January,13,13/01/2005,Colombia,Black,Black Hawk helicopter,Manguipayan Colombia,government Colombian - Military,20,20,0,20
1962,Qtr 2,April,22,22/04/1962,Colombia,Douglas,Douglas C 47A,Serrania del Baudo Colombia,AVISPA,40,40,0,40
2007,Qtr 4,October,8,08/10/2007,Colombia,LET,Let 410 UVP E10AHK,Near Cubarral Colombia,Aviacion de Nacional,17,17,0,17
1960,Qtr 1,March,19,19/03/1960,Colombia,Curtiss,Curtiss C 46HK,Cordoba Colombia,SAMSA,46,25,0,25
1960,Qtr 1,March,15,15/03/1960,Colombia,Consolidated,Consolidated PBY 5A CatalinaHK,El Refugio Colombia,Aviada de Interamericana Agencia,13,6,0,6
1959,Qtr 4,December,8,08/12/1959,Colombia,Curtiss,Curtiss C 46AHK,Off Cartagena Colombia,Medellin Aeronautica Sociedad,45,45,0,45
2008,Qtr 3,July,7,07/07/2008,Colombia,Boeing,Boeing B 747,Near Bogota Colombia,Cargo Air Centurian,8,0,3,3
1936,Qtr 3,August,6,06/08/1936,Colombia,Junkers,Junkers F 13C,Choco Colombia,SCADTA,3,2,0,2
1942,Qtr 4,October,24,24/10/1942,Colombia,Boeing,Boeing 247C 144,La Esperanza Colombia,Avianca,6,6,0,6
1960,Qtr 2,April,19,19/04/1960,Colombia,Curtiss,Curtiss C 46HK,Bogota Colombia,Colombiano Aereo Lloyd,51,37,0,37
1962,Qtr 3,August,23,23/08/1962,Colombia,Douglas,Douglas DC 3HK,Barrancabermeja Colombia,Airlines Taxader,32,20,0,20
2001,Qtr 1,January,31,31/01/2001,Colombia,Sud,Sud Aviation SE 210 Caravelle 10RHK,El Yopal Colombia,Suramericanas Aereas Lineas,6,3,0,3
2001,Qtr 4,December,16,16/12/2001,Colombia,LET,Let 410UVP EHK,Near Medellin Colombia,Heliandes,16,16,0,16
1964,Qtr 3,September,15,15/09/1964,Colombia,Douglas,Douglas C 47AHK,Near Condoto Colombia,Avianca,2,2,0,2
1935,Qtr 3,July,28,28/07/1935,Colombia,Junkers,Junkers W 34406,El Retiro Colombia,Colombiana Aerea Fuerza,5,5,0,5
2014,Qtr 2,May,8,08/05/2014,Colombia,Douglas,Douglas DC 3CHK,Near San Vicente del Caguan Colombia,Colombia Alisansa,6,6,0,6
2000,Qtr 3,September,2,02/09/2000,Colombia,Douglas,Douglas C 47FAC1659,Mount Montezuma Colombia,Colombiana Aérea Fuerza - Military,7,7,0,7
1965,Qtr 1,March,22,22/03/1965,Colombia,Douglas,Douglas C 47HK,Sugar Loaf Mountain Colombia,Avianca,28,28,0,28
2002,Qtr 1,January,28,28/01/2002,Colombia,Boeing,Boeing B 727,Near Ipiales Colombia,TAME,92,92,0,92
2003,Qtr 4,December,18,18/12/2003,Colombia,Douglas,Douglas DC 9,Mitu Colombia,Suramericanas Aéreas Líneas,3,3,0,3
2004,Qtr 2,May,5,05/05/2004,Colombia,Swearingen,Swearingen SA227AC Metro IIIHK 4275,Carepa Colombia,Petroleros Aerotransportes,7,3,0,3
1962,Qtr 4,December,6,06/12/1962,Colombia,Douglas,Douglas C 47HK,Barrancabermeja Colombia,Airlines Taxader,26,24,0,24
1936,Qtr 1,January,14,14/01/1936,Colombia,Junkers,Junkers JU 52624,Tres Esquinas Colombia,Colombiana Aerea Fuerza - Military,16,13,0,13
2002,Qtr 2,April,19,19/04/2002,Colombia,Antonov,Antonov AN 32AHK,Popayán Colombia,Colombia SELVA,8,3,0,3
1964,Qtr 1,March,8,08/03/1964,Colombia,Douglas,Douglas DC 3HK,Bogota Colombia,Santander de Aereo Taxi,28,28,0,28
1920,Qtr 3,July,20,20/07/1920,Colombia,Farman,Farman F 40,Cartagena Columbia,Aérea Navegación de Colombiana Compañia,1,1,0,1
2022,Qtr 4,November,21,21/11/2022,Colombia,Piper,Piper PA 31,Medellín Colombia,SAS Aero,8,8,0,8
1974,Qtr 1,January,9,09/01/1974,Colombia,Hawker,Hawker Siddeley HS 748 260FAC,Near Nevia Colombia,Satena,31,31,0,31
1934,Qtr 1,March,10,10/03/1934,Colombia,Sirkorsky,Sikorsky S 38 Flying BoatNC,Pereira Colombia,(Scadta) Airways American Pan,6,5,0,5
1994,Qtr 2,May,28,28/05/1994,Colombia,Douglas,Douglas DC 3 (C,Near Villavicencio Colombia,Colombia Transoriente,29,7,0,7
1973,Qtr 4,November,2,02/11/1973,Colombia,Handley,Handley Page HPR 7 Herald 101HK,Villavicencio Colombia,Urraca La Aéreas Lineas,16,6,0,6
1974,Qtr 3,July,24,24/07/1974,Colombia,Douglas,Douglas DC 4HK,Bogota Colombia,Colombia Aeronorte,3,3,0,3
1994,Qtr 4,October,8,08/10/1994,Colombia,Antonov,Antonov AN 32BHK3929X,Mitu Colombia,SELVA,10,10,0,10
1993,Qtr 1,February,20,20/02/1993,Colombia,Convair,Convair CV 440HP,Bogota Colombia,Panama Three Cargo,2,2,0,2
1954,Qtr 1,January,11,11/01/1954,Colombia,Douglas,Douglas DC 3HK,Manizales Colombia,Avianca,21,21,0,21
1974,Qtr 1,January,17,17/01/1974,Colombia,Douglas,Douglas DC 3AHK,Cigorodo Colombia,Cessnyca,14,14,0,14
1994,Qtr 2,May,23,23/05/1994,Colombia,Pilatus,Pilatus Britten Norman BN,Loma Linda Colombia,Arall,11,4,0,4
1972,Qtr 3,July,29,29/07/1972,Colombia,Douglas,Douglas DC 3 / Douglas DC,Villavicencio Colombia,AVIANCA / AVIANCA,38,38,0,38
1972,Qtr 1,February,5,05/02/1972,Colombia,Fairchild,Fairchild F 27HK,Near Valledupar Colombia,Colombia TAC,19,19,0,19
1993,Qtr 2,June,6,06/06/1993,Colombia,de Havilland,de Havilland Canada DHC 6 Twin Otter 300HK,El Yopal Colombia,Aerotaca,2,2,0,2
1992,Qtr 3,September,19,19/09/1992,Colombia,Curtiss,Curtiss C 46F,Bogota Colombia,Colombia Avesca,11,11,0,11
1993,Qtr 2,May,19,19/05/1993,Colombia,Boeing,Boeing B 727,Near Medellin Colombia,Colombia SAM,132,132,0,132
1972,Qtr 1,January,21,21/01/1972,Colombia,Vickers,Vickers Viscount 837HK 1347,Near Funza Colombia,Urraca La Aéreas Lineas,20,20,0,20
1971,Qtr 4,October,17,17/10/1971,Colombia,Douglas,Douglas C 47AHK,San Vicente del Caguan Colombia,TAO Aerolineas,21,19,0,19
1972,Qtr 1,January,21,21/01/1972,Colombia,Douglas,Douglas C 47FAC,Near Betania Colombia,SATENA - Miliitary,39,39,0,39
1973,Qtr 3,August,22,22/08/1973,Colombia,Douglas,Douglas DC 3HK,El Yopal Colombia,Avianca,17,16,0,16
1973,Qtr 3,August,27,27/08/1973,Colombia,Lockheed,Lockheed L 188A ElectraHK,Bogota Colombia,Colombia Aerocondor,42,42,0,42
1948,Qtr 1,March,15,15/03/1948,Colombia,Douglas,Douglas DC 3 (C47,Villa Pinzon Colombia,Aviada de Interamericana Agencia,14,14,0,14
1947,Qtr 1,March,17,17/03/1947,Colombia,Lockheed,Lockheed 18 LodestarYS 28,Near Medellin Colombia,TACA,8,8,0,8
1991,Qtr 3,July,4,04/07/1991,Colombia,de Havilland,de Havilland Canada DHC 6 Twin Otter 300HK,El Yopal Colombia,Colombia Helicol,3,3,0,3
1955,Qtr 1,January,31,31/01/1955,Colombia,Consolidated,Consolidated PBY 5 CatalinaHK,Lapadrera Colombia,Aviacion de Interamericana,5,5,0,5
1975,Qtr 1,January,8,08/01/1975,Colombia,Douglas,Douglas DC 3FAC,Near Doncello Colombia,Satena,21,21,0,21
1947,Qtr 1,March,8,08/03/1947,Colombia,Douglas,Douglas C 47,Cordillera Colombia,VIARCO,9,9,0,9
2012,Qtr 2,April,30,30/04/2012,Colombia,Bell,Bell 212FAC 4020,Sabanagrande Colombia,Colombiana Aerea -Fuerza Military,13,13,0,13
1995,Qtr 1,January,11,11/01/1995,Colombia,McDonnell,McDonnell Douglas DC 9,Cartagena Colombia,Aviacion de Intercontinental,52,51,0,51
1974,Qtr 3,August,12,12/08/1974,Colombia,Douglas,Douglas C 47,Cali Colombia,Avianca,27,27,0,27
2010,Qtr 3,August,16,16/08/2010,Colombia,Boeing,Boeing B 737,San Andreas Island Colombia,Colombia AIRES,131,2,0,2
1947,Qtr 1,February,15,15/02/1947,Colombia,Douglas,Douglas DC 4C,Near Bogota Colombia,Avianca,53,53,0,53
1995,Qtr 2,May,9,09/05/1995,Colombia,Curtiss,Curtiss C 46FHK,Cerro San Jeronimo Colombia,Colombia ADES,9,9,0,9
1991,Qtr 2,June,20,20/06/1991,Colombia,Douglas,Douglas DC 6BFHK,Near Malambo Colombia,Colombia Aerosucre,18,2,0,2
1946,Qtr 1,March,23,23/03/1946,Cocos,Avro,Avro 691 Lancastrian 1G AGLX,Off Ceylon Cocos,Indian Ocean          Islands British Overseas Airways /Qantas,10,10,0,10
1943,Qtr 1,March,13,13/03/1943,China,Douglas,Douglas C 5349,Himalaya China,Corporation Aviation National China,3,3,0,3
1943,Qtr 1,March,11,11/03/1943,China,Douglas,Douglas C 5353,Luishui China,Corporation Aviation National China,3,3,0,3
2000,Qtr 2,June,22,22/06/2000,China,Xian,Xian Yunshuji Y 7,Shitai China,Airlines Wuhan,44,44,7,51
1945,Qtr 2,April,9,09/04/1945,China,Douglas,Douglas C 4788,Kunming China,Corporation Aviation National China,3,3,0,3
1983,Qtr 3,September,14,14/09/1983,China,Hawker,Hawker Siddeley Trident 2E /  II 28B,Guilin China,CAAC,106,11,0,11
1994,Qtr 2,June,6,06/06/1994,China,Tupolev,Tupolev TU 154MB,Near Xi'an China,Airlines Northwest China,160,160,0,160
1936,Qtr 4,December,26,26/12/1936,China,Douglas,Douglas DC 2NC14269,Nanking China,Corporation Aviation National China,0,0,0,0
1979,Qtr 1,March,14,14/03/1979,China,Hawker,Hawker Siddeley Trident 2EB 274,Bejing China,CAAC,12,12,32,44
1934,Qtr 2,April,10,10/04/1934,China,Sirkorsky,Sikorsky S 38BBNV17V,Ningpo Bay China,Corporation Aviation National China,3,3,0,3
1986,Qtr 4,December,15,15/12/1986,China,Antonov,Antonov AN 24RVB,Near Lanzhou China,CAAC,44,6,0,6
1989,Qtr 2,May,9,09/05/1989,China,Bell,Bell 412JA9596,Near Tainjin China,Asahi Aero,0,10,0,10
1931,Qtr 4,November,24,24/11/1931,China,Stinson,Stinson,Near Tsinan China,Corporation Aviation National China,3,3,0,3
1989,Qtr 3,August,15,15/08/1989,China,Antonov,Antonov AN 24RVB,Shanghai China,China China Eastern Airlines,40,34,0,34
1930,Qtr 4,December,9,09/12/1930,China,Loening,Loening C W Air Yaht,Shanghai China,Corporation Aviation National China,6,4,0,4
1948,Qtr 1,January,20,20/01/1948,China,Curtiss,Curtiss C 46,Near Mukden China,Corporation Aviation National China,54,11,0,11
1942,Qtr 4,October,1,01/10/1942,China,Douglas,Douglas C 4769,Kunming China,Corporation Aviation National China,0,0,0,0
1947,Qtr 4,December,23,23/12/1947,China,Shorts,Short  S 29 Stirling VOO,Kunming China,Transport Air,30,25,0,25
1992,Qtr 4,October,8,08/10/1992,China,Avia,Avia 14M 40B,Near Dingxi China,Airlines Wuhan,35,14,0,14
1933,Qtr 4,November,20,20/11/1933,China,Stinson,Stinson,Near Tsinan China,Corporation Aviation National China,8,8,0,8
1990,Qtr 4,October,2,02/10/1990,China,Boeing,Boeing B 737,Guangzhou China,Airlines Xiamen / Airlines Southern China,226,128,0,128
1942,Qtr 1,March,14,14/03/1942,China,Douglas,Douglas DC 2,Kunming China,Corporation Aviation National China,17,13,0,13
1942,Qtr 1,February,19,19/02/1942,China,Douglas,Douglas DC 245,Zhengzhou-Xinzheng China,Corporation Aviation National China,1,1,0,1
1948,Qtr 2,June,17,17/06/1948,China,PBY,PBY Catalina,Over the Pearl River China,Pacific Cathy,26,25,0,25
1982,Qtr 4,December,24,24/12/1982,China,Ilyushin,Ilyushin IL 18BB,Guangzhou China,CAAC,69,25,0,25
2001,Qtr 1,January,4,04/01/2001,China,Shaanxi,Shaanxi Yunshuji Y 8/Yunshuji Y,Zheng Zou AB China,Army Liberation People's - Military,16,16,6,22
1948,Qtr 3,July,29,29/07/1948,China,Curtiss,Curtiss C 46D,Tsingtao China,Transport Air Civil,19,19,0,19
1993,Qtr 4,November,13,13/11/1993,China,McDonnell,McDonnell Douglas MD 82B,Urumqi China,Airlines Northern China,102,12,0,12
1922,Qtr 2,April,8,08/04/1922,China,N/A,N/A,Pao Ting Fou China?,N/A,17,17,0,17
1993,Qtr 4,October,26,26/10/1993,China,McDonnell,McDonnell Douglas MD 82B,Fuzhou China,Airlines Eastern China,80,2,0,2
1989,Qtr 4,October,26,26/10/1989,China,Boeing,Boeing B 737,Hualien China,(Taiwan) Airlines China,54,54,0,54
1947,Qtr 3,July,31,31/07/1947,China,Douglas,Douglas C 47,Near Yumen China,Force Air Chinese - Military,26,26,0,26
2010,Qtr 3,August,24,24/08/2010,China,Embraer,Embraer ERJ 190,Yichun China,Airlines Henan,96,44,0,44
1951,Qtr 3,July,20,20/07/1951,China,Douglas,Douglas C 47AF,Thudamot China,Outre-Mer Air,3,3,0,3
1954,Qtr 3,July,23,23/07/1954,China,Douglas,Douglas DC 4VR,Off Hainan Island China,Airways Pacific Cathay,18,10,0,10
1976,Qtr 1,January,21,21/01/1976,China,Antonov,Antonov AN 24B,Near Shanghai China,CAAC,40,40,0,40
1992,Qtr 4,November,24,24/11/1992,China,Boeing,Boeing B 737,Near Guilin China,Airlines Southern China,141,141,0,141
1993,Qtr 3,July,23,23/07/1993,China,British,British Aerospace 146 300B,Yinchuan China,Airlines Northwest China,113,55,0,55
1940,Qtr 4,October,29,29/10/1940,China,Douglas,Douglas DC 2NC14297,Near Changyi China,Corporation Aviation National China,14,9,0,9
1948,Qtr 4,December,5,05/12/1948,China,Curtiss,Curtiss C 46XT,Kiangwan China,Transport Air Central,40,9,0,9
1941,Qtr 1,January,20,20/01/1941,China,Ford,Ford 5 AT Tri,Near Kian China,Corporation Aviation National China,6,5,0,5
1944,Qtr 2,June,8,08/06/1944,China,Douglas,Douglas C 4785,Kunming China,Corporation Aviation National China,6,6,0,6
1946,Qtr 3,September,20,20/09/1946,China,Curtiss,Curtiss Wright C 46,Lochi Mountain China,Corporation Aviation National China,28,28,0,28
1943,Qtr 4,November,19,19/11/1943,China,Douglas,Douglas C 5359,Kunming China,Corporation Aviation National China,3,2,0,2
1944,Qtr 2,May,26,26/05/1944,China,Douglas,Douglas C 4782,Between Calcutta to Dinjan China,Corporation Aviation National China,12,12,0,12
1945,Qtr 4,October,30,30/10/1945,China,Curtiss,Curtiss  Wright C,Chihchiang China,Forces Air Army U.S. - Military,50,45,0,45
1946,Qtr 1,January,9,09/01/1946,China,Douglas,Douglas C 47,Changchun China,Force Air Chinese - Military,18,18,0,18
1997,Qtr 2,May,8,08/05/1997,China,Boeing,Boeing B 737,Huangtian China,Airlines Southern China,74,35,0,35
1946,Qtr 4,December,25,25/12/1946,China,Douglas,Douglas DC 3,Near Shanghai China,CNAC,30,20,0,20
1944,Qtr 2,June,18,18/06/1944,China,Douglas,Douglas C 4771,Kweilin China,Corporation Aviation National China,4,2,0,2
2004,Qtr 2,May,18,18/05/2004,China,Ilyushin,Ilyushin II 76TD4K,Urumqi China,Company Cargo AZAL,7,7,0,7
1935,Qtr 3,August,13,13/08/1935,China,Sirkorsky,Sikorsky S 38BNV40V,Hangow China,Corporation Aviation National China,0,0,0,0
1936,Qtr 1,March,5,05/03/1936,China,Ford,Ford 5 AT,Near Tengya China,Corporation Aviation National China,6,0,0,0
1943,Qtr 4,December,18,18/12/1943,China,Douglas,Douglas C 4783,Suifu China,Corporation Aviation National China,3,3,0,3
1999,Qtr 2,April,15,15/04/1999,China,McDonnell,McDonnell Douglas MD 11HL,Shanghi China,Air Korean,3,3,0,3
1949,Qtr 4,December,10,10/12/1949,China,Curtiss,Curtiss C 46D,Near Hoikow China,Transport Air Civil,40,17,0,17
1999,Qtr 1,February,24,24/02/1999,China,Tupolev,Tupolev TU 154B,Rui'an China,Airlines Southwest China,61,61,0,61
1934,Qtr 3,August,10,10/08/1934,China,Sirkorsky,Sikorsky S 38B,Ningbo China,Corporation Aviation National China,0,0,0,0
1943,Qtr 4,November,19,19/11/1943,China,Douglas,Douglas C 4763,Kunming China,Corporation Aviation National China,3,3,0,3
2002,Qtr 2,May,7,07/05/2002,China,McDonnell,McDonnell Douglas MD 82B,Off Dalian China,Airlines Northern China,112,112,0,112
1996,Qtr 2,June,21,21/06/1996,China,Harbin,Harbin Yunshuji Y 12,Shanghai China,Airlines) (Feilong Aviation Dragon Flying China,12,2,0,2
1944,Qtr 4,November,30,30/11/1944,China,Douglas,Douglas C 4756,Dinjan China,Corporation Aviation National China,3,3,0,3
1946,Qtr 4,December,25,25/12/1946,China,Douglas,Douglas C 47,Shanghai China,CATA,11,11,5,16
1945,Qtr 3,September,28,28/09/1945,China,Curtiss,Curtiss C 46D42,Near Chihkiang China,Force Air Army States United - Military,20,20,0,20
1967,Qtr 4,November,5,05/11/1967,China,Convair,Convair CV 880,Hong Kong China,Airways Pacific Cathay,127,1,0,1
1943,Qtr 3,August,11,11/08/1943,China,Douglas,Douglas C 5348,Fort Hertz China,Corporation Aviation National China,3,3,0,3
1947,Qtr 1,January,28,28/01/1947,China,Curtiss,Curtiss C 46,Near Hankow China,Corporation Aviation National China,26,25,0,25
1938,Qtr 3,August,24,24/08/1938,China,Douglas,Douglas DC 232,Wangmoon China,Corporation Aviation National China,17,14,0,14
1946,Qtr 1,March,17,17/03/1946,China,N/A,N/A,Near Nanking China,Force Air Chinese - Military,20,20,0,20
1946,Qtr 1,March,18,18/03/1946,China,N/A,139,Between Chungking and Shanghai China,Corporation Aviation National China,0,0,0,0
1949,Qtr 4,December,9,09/12/1949,China,Curtiss,Curtiss C 46D,Near Lanchow China,Transport Air Civil,38,38,0,38
1947,Qtr 1,February,21,21/02/1947,China,Douglas,Douglas C 47,Chungking China,Force Air Chinese - Military,21,21,0,21
1945,Qtr 1,January,16,16/01/1945,China,Douglas,Douglas C 47,Near Kunming China,Corporation Aviation National China,3,3,0,3
1946,Qtr 2,April,8,08/04/1946,China,N/A,N/A,Near Shensi China?,N/A,14,14,0,14
1947,Qtr 1,January,5,05/01/1947,China,Curtiss,Curtis C 46XT,Tsingtao China,Corporation Aviation National China,43,43,0,43
2006,Qtr 2,June,3,03/06/2006,China,KJ,KJ  2000,Yaocun China,Force Air Chinese - Military,40,40,0,40
1945,Qtr 4,October,20,20/10/1945,China,Douglas,Douglas C 47,Between Shanghi and Canton China,Corporation Aviation National China,31,31,0,31
1988,Qtr 4,October,7,07/10/1988,China,Ilyushin,Ilyushin IL 14PB,Linfen China,Airlines Shanxi,48,44,2,46
1999,Qtr 3,August,22,22/08/1999,China,McDonnell,McDonnell Douglas MD 11B,Hong Kong China,(Taiwan) Airlines China,315,3,0,3
1947,Qtr 1,January,11,11/01/1947,China,Douglas,Douglas DC 4 (C,Off Laoag China,Transport Air Eastern Far,42,7,0,7
1946,Qtr 3,July,13,13/07/1946,China,Curtiss,Curtiss C 46,Tsinan China,Transport Air Central,49,13,0,13
1945,Qtr 4,October,16,16/10/1945,China,Curtiss,Curtiss  Wright C,Near Peking China,Forces Air Army U.S. - Military,59,59,0,59
1947,Qtr 1,January,25,25/01/1947,China,Douglas,Douglas DC 3,Chongqing China,Corporation Aviation National China,19,19,0,19
1985,Qtr 1,January,18,18/01/1985,China,Antonov,Antonov AN 24BB,Jinan China,CAAC,41,38,0,38
