Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1972,Qtr 4,October,1,01/10/1972,Russia,Ilyushin,Ilyushin IL 18BCCCP,Near Adler USSRAeroflot,N/A,108,108,0,108
1972,Qtr 3,August,31,31/08/1972,Russia,Ilyushin,Ilyushin IL 18CCCP,Near Magnitogorsk Russia,Aeroflot,102,102,0,102
2009,Qtr 4,November,1,01/11/2009,Russia,Ilyushin,Ilyushin Il 76RF,Mirny Russia,Interior of Ministry Russian,11,11,0,11
1978,Qtr 4,October,23,23/10/1978,Russia,Antonov,Antonov AN 24BCCCP,Gulf of Sivash USSRAeroflot,N/A,26,26,0,26
2011,Qtr 3,September,7,07/09/2011,Russia,Yakovlev,Yakovlev 42DRA 42434,Yaroslavl Russia,Service YAK,45,44,0,44
1972,Qtr 4,October,13,13/10/1972,Russia,Ilyushin,Ilyushin IL 62CCCP,Near Moscow USSRAeroflot,N/A,174,174,0,174
1954,Qtr 3,August,26,26/08/1954,Russia,sunov,Lisunov LI 2CCCP,Sakhalin Oblast Russia,Aeroflot,27,26,1,27
2021,Qtr 3,September,12,12/09/2021,Russia,LET,Let L 410UVP,Kazachinskoye  Russia,Aeroservice/Si,16,4,0,4
1938,Qtr 1,February,5,05/02/1938,Russia,V,V6 (airship)CCCP V6,Kandalaksha Russia,Ts,19,13,0,13
1972,Qtr 2,May,16,16/05/1972,Russia,Antonov,Antonov An 2605,Svetlogorsk Russia,Navy Russian - Military,9,9,25,34
2012,Qtr 3,September,12,12/09/2012,Russia,Antonov,Antonov AN 28RA,Near Palana Russia,Enteprise Air Petropavlovsk-Kamchatsky,14,10,0,10
1979,Qtr 1,January,15,15/01/1979,Russia,Antonov,Antonov AN 24NCCCP46807,Minsk Russia,Aeroflot,13,13,0,13
1989,Qtr 3,July,19,19/07/1989,Russia,Antonov,Antonov AN 26CCCP,Talourow Island USSRAeroflot,N/A,10,10,0,10
1973,Qtr 4,October,2,02/10/1973,Russia,Antonov,Antonov AN 12VCCCP,Magadan Russia,Aeroflot,10,10,0,10
2001,Qtr 3,July,14,14/07/2001,Russia,Ilyushin,Ilyushin IL 76RA,Near Moscow Russia,Company Transport Air Russ,10,10,0,10
2021,Qtr 3,July,6,06/07/2021,Russia,Antonov,"Antonov An 26B 100	RA",Palana Russia,Enterprise Aviation Kamchatka,28,28,0,28
1976,Qtr 4,November,28,28/11/1976,Russia,Tupolev,Tupolev TU 104BCCCP,Moscow Russia,Aeroflot,73,73,0,73
2001,Qtr 4,October,4,04/10/2001,Russia,Tupolev,Tupolev TU 154MRA,110 miles SW of Sochi Russia,Airlines Sibir,78,78,0,78
1976,Qtr 3,September,9,09/09/1976,Russia,Antonov,Antonov AN 24 / Yakovlev Yak,Off Adler Russia,Aeroflot / Aeroflot,64,64,0,64
