Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1947,Qtr 2,May,29,1947-05-29,Iceland,Douglas,Douglas Dc 3Tf,Hjedinsfjordur Iceland,Flugefelag,25,25,0,25
1948,Qtr 1,March,7,1948-03-07,Iceland,Avro,Avro Ansontf Rvl,Near Skalafell Iceland,Airlines Icelandic Loftleidir,4,4,0,4
1941,Qtr 1,January,17,1941-01-17,Hungary,Junkers,Junkers Ju 52/3Mha,Near Nagyvarad Hungary,Airlines Malert,16,12,0,12
1938,Qtr 3,August,10,1938-08-10,Hungary,Ford,Ford Tri Motor F,Debrecen Hungary,Legiforagalmi Magyar,12,12,0,12
1925,Qtr 3,July,24,1925-07-24,Hungary,Potez,Potez Ix,Budapest Hungary,Cidna,1,1,0,1
2006,Qtr 1,January,19,2006-01-19,Hungary,Antonov,Antonov An 24V5605,Near Telkibanya Hungary,Force Air Slovak - Military,43,42,0,42
2005,Qtr 1,January,27,2005-01-27,Hungary,Let,Let 410Uvp E4Ha,Lasi Hungary,Hungary Farnair,2,2,0,2
1963,Qtr 2,June,16,1963-06-16,Hungary,Veb,Veb 14Pyr Ill,Bekkessamson Hungary,Tarom,31,31,0,31
1961,Qtr 3,August,6,1961-08-06,Hungary,Douglas,Douglas Dc 3Ha,Budapest Hungary,Airlines Hungarian Malev,27,27,3,30
1975,Qtr 1,January,15,1975-01-15,Hunary,Illyushin,Ilyushin Il 18Vha,Budapest Hunary,Airlines Hungarian Malev,9,9,0,9
1983,Qtr 4,November,8,1983-11-08,Huila,Boeing,Boeing B 737,Lubango Huila,Angola Taag Angola Airlines,130,130,0,130
1971,Qtr 4,December,24,1971-12-24,Huanuco,Lockheed,Lockheed 188A Electraob R,Near Puerto Inca Huanuco,Peru Lineas Aereas Nacionales Sa (Peru),92,91,0,91
1976,Qtr 3,September,10,1976-09-10,Hrvatska,Mcdonnell,Mcdonnell Douglas Dc 9,Near Gaj Hrvatska,Yugoslavia Inex Adria Aviopromet / British Airways,176,176,0,176
1969,Qtr 1,January,5,1969-01-05,Horley,Boeing,Boeing B 727,Gatwick Airport Horley,Surrey,62,48,2,50
1967,Qtr 2,June,30,1967-06-30,Hong,Sud,Sud Aviation Se 210 Caravelle Iiihs,Kai Tak Hong,International Kongthai,80,24,0,24
1994,Qtr 3,September,23,1994-09-23,Hong,Lockheed,Lockheed L 100,Kowloon Bay Hong,Airlines Cargo Kongheavylift,12,6,0,6
1988,Qtr 3,August,31,1988-08-31,Hong,Hawker,Hawker Siddeley Hs 121 Trident 2Eb,Kowloon Bay Hong,Kongcaac,89,7,0,7
1948,Qtr 4,December,21,1948-12-21,Hong,Douglas,Douglas C 54B,Basalt Island Hong,Corporation Aviation National Kongchina,33,33,0,33
1949,Qtr 1,February,24,1949-02-24,Hong,Douglas,Douglas Dc 3Vr,Braemar Resevoir Hong,Airways Pacific Kongcathay,23,23,0,23
1961,Qtr 2,April,18,1961-04-18,Hong,C,C  47(Dc,Mount Parker Hong,Force Air Us - Kongmilitary,15,14,0,14
1951,Qtr 2,April,9,1951-04-09,Hong,Douglas,Douglas Dc 3Hs,Cape D'Arguilar Hong,Airways Kongsiamese,16,16,0,16
1951,Qtr 1,March,11,1951-03-11,Hong,Douglas,Douglas Dc 4Hs,Mt. Butler Hong,Airways Overseas Kongpacific,24,24,0,24
1935,Qtr 2,May,29,1935-05-29,Honduras,N/A,N/A,San Barbra Honduras?,N/A,9,6,0,6
1957,Qtr 3,August,29,1957-08-29,Honduras,Douglas,Douglas Dc 3Xh,Near Juticalpa Honduras,Airlines Sahsa,12,12,0,12
1977,Qtr 3,July,25,1977-07-25,Honduras,Douglas,Douglas C 47Fah,Near Yoro Honduras,Force Air Honduran - Military,40,25,0,25
1959,Qtr 3,September,12,1959-09-12,Honduras,Douglas,Douglas Dc 4N88900,Near Tegucigalpa Honduras,Airways World American Pan,3,3,0,3
1990,Qtr 1,March,21,1990-03-21,Honduras,Lockheed,Lockheed L 188Cf Electrahr,Las Mesitas Honduras,Honduras Tan,3,3,0,3
1970,Qtr 2,May,26,1970-05-26,Honduras,De Havilland,De Havilland Dh 114 Heron 1Bhr,Near Tegucigalpa Honduras,Aeroservicios,6,6,0,6
1975,Qtr 3,August,3,1975-08-03,Honduras,Douglas,Douglas Dc 47412,Off Amapala Honduras,Force Air Nicaraguan - Military,20,20,0,20
1953,Qtr 3,September,8,1953-09-08,Honduras,Douglas,Douglas C 47Axh,San Andres Honduras,Taca,3,3,0,3
1997,Qtr 2,April,1,1997-04-01,Honduras,Lockheed,Lockheed C 130H Hercules88,Tegucigalpa Honduras,Force Air U.S. - Military,10,3,0,3
1973,Qtr 1,January,27,1973-01-27,Honduras,Douglas,Douglas Dc 6Ahr,Near Tegucigalpa Honduras,Tan,3,3,0,3
1986,Qtr 3,August,14,1986-08-14,Honduras,Lockheed,Lockheed C130D556,Near Wampusirpi Honduras,Force Air Honduran - Military,59,59,0,59
2008,Qtr 2,May,30,2008-05-30,Honduras,Airbus,Airbus A 320,Tegucigalpa Honduras,Airlines International Taca,136,3,2,5
1967,Qtr 1,February,20,1967-02-20,Honduras,Douglas,Douglas Dc 6Hr,Tegucigalpa Honduras,Airlines Sahsa,55,4,0,4
2011,Qtr 1,February,14,2011-02-14,Honduras,Let,Let L 410 Uvpe,Near Santa Ana Francisco Morazan Honduras,Airways American Central,14,14,0,14
1985,Qtr 1,January,22,1985-01-22,Honduras,Lockheed,Lockheed C 130A56,Off Puerto Castilla Honduras,Force Air U.S. - Military,21,21,0,21
